问题发生时间,平台名称,所在地区,上线时间,出问题原因
2019-01-16,一点成圆,浙江省杭州市,2015-08-20,警方介入
2019-01-16,鼠贷金融,上海市闸北区,2015-06-18,平台失联
2019-01-16,御龙e贷,广西壮族自治区柳州市,2015-12-28,暂停运营
2019-01-16,互存金融,浙江省杭州市,2016-01-28,平台失联
2019-01-16,开元信贷,江西省上饶市,2016-08-08,平台失联
2019-01-14,民民贷,浙江省温州市,2012-10-24,平台清盘
2019-01-11,贷款易,北京市东城区,2013-05-01,平台清盘
2019-01-11,觅银金服,北京市朝阳区,2018-02-24,平台失联
2019-01-11,鱼米金服,上海市黄浦区,--,暂停运营
2019-01-11,云联牧场,北京市东城区,2014-12-31,平台展期
2019-01-11,投这家,浙江省杭州市,2015-07-28,暂停运营
2019-01-11,优存网,山东省青岛市,2015-11-01,平台失联
2019-01-11,宜定投,北京市东城区,2015-08-08,平台清盘
2019-01-11,同乐宝,四川省成都市,2015-05-18,暂停运营
2019-01-07,铂恒金服,浙江省杭州市,2016-12-07,警方介入
2019-01-03,苏中贷,江苏省扬州市,2014-03-11,平台清盘
2019-01-02,国融贷,浙江省台州市,2017-02-13,平台失联
2019-01-02,公众理财,浙江省舟山市,2016-12-07,平台失联
2019-01-02,浙江车邦贷,浙江省杭州市,2015-05-04,平台清盘
2019-01-02,浙江车贷网,浙江省杭州市,2014-02-27,平台清盘
2019-01-02,益投网贷,广东省深圳市,2014-01-10,平台清盘
2018-12-29,宜贷网,上海市嘉定区,2014-01-01,平台清盘
2018-12-28,青蓝金服,浙江省温州市,2016-08-01,平台清盘
2018-12-27,润阳贷,江苏省扬州市,2016-08-05,平台清盘
2018-12-26,丰丰金融,湖南省株洲市,2018-01-09,暂停运营
2018-12-24,123便利贷,上海市浦东新区,2014-09-09,平台清盘
2018-12-24,金多子,浙江省杭州市,2017-12-05,平台失联
2018-12-24,瑞泽会,江苏省南京市,2017-06-11,平台失联
2018-12-24,皖都金融,安徽省合肥市,2013-08-18,暂停运营
2018-12-21,阀门贷,上海市杨浦区,--,平台失联
2018-12-21,融烨金融,云南省昆明市,--,暂停运营
2018-12-21,易袋富,广东省深圳市,2018-03-01,暂停运营
2018-12-21,观鑫网,浙江省杭州市,2018-05-28,暂停运营
2018-12-21,铂宁贷,广西壮族自治区南宁市,2017-11-30,平台失联
2018-12-21,阳光黔贷,贵州省贵阳市,2015-11-27,平台清盘
2018-12-20,富仕生财富,辽宁省大连市,--,平台失联
2018-12-20,金联贷,浙江省杭州市,2014-03-18,暂停运营
2018-12-20,赢众投,北京市东城区,2016-01-20,暂停运营
2018-12-20,7号管家,浙江省宁波市,2017-01-17,平台清盘
2018-12-20,益农金服,浙江省杭州市,2016-09-05,平台清盘
2018-12-20,佑昌财富,浙江省杭州市,--,平台失联
2018-12-20,互金贷,上海市卢湾区,--,平台清盘
2018-12-20,爱投吧,湖北省武汉市,--,平台失联
2018-12-20,贤贵金融,上海市金山区,--,暂停运营
2018-12-20,哲朴金所,上海市金山区,--,暂停运营
2018-12-20,小米富,天津市塘沽区,--,平台失联
2018-12-19,金竹金服,浙江省杭州市,2018-07-09,平台失联
2018-12-19,恒信财富,浙江省杭州市,--,平台失联
2018-12-19,前海大众金融,广东省深圳市,2015-02-02,平台失联
2018-12-19,白鹿贷,福建省南平市,--,平台失联
2018-12-19,慧晟金服,浙江省杭州市,--,平台失联
2018-12-19,融乐贷,浙江省杭州市,--,平台清盘
2018-12-19,寓安金服,浙江省宁波市,2018-05-22,暂停运营
2018-12-19,财米薪,浙江省杭州市,2018-07-23,提现困难
2018-12-19,唯吾财富,浙江省宁波市,2018-01-15,平台失联
2018-12-19,派财网,上海市黄浦区,2015-04-19,平台失联
2018-12-18,好利网,上海市杨浦区,2014-09-15,警方介入
2018-12-17,皓月金服,山东省青岛市,2017-09-17,平台失联
2018-12-11,茂业财富,江苏省南京市,--,平台失联
2018-12-11,寻贷网,浙江省金华市,2014-08-21,平台清盘
2018-12-11,咕咕理财,浙江省杭州市,2017-09-15,暂停运营
2018-12-11,金猪理财,浙江省杭州市,2017-09-01,平台清盘
2018-12-11,慧之桥财富,江苏省南通市,2018-08-16,平台失联
2018-12-11,达圆投资,浙江省杭州市,--,平台失联
2018-12-11,恒隆投资,浙江省宁波市,--,平台失联
2018-12-11,沃和金融,浙江省温州市,2018-05-09,平台失联
2018-12-11,赵云理财,浙江省杭州市,--,平台失联
2018-12-11,铜板匠,浙江省杭州市,--,平台清盘
2018-12-11,投钱侠,浙江省杭州市,--,暂停运营
2018-12-11,绿盈金服,浙江省杭州市,--,暂停运营
2018-12-11,祥益金服,浙江省杭州市,--,平台展期
2018-12-10,云回通宝,浙江省宁波市,2015-08-03,警方介入
2018-12-10,宏财网,北京市东城区,2014-12-15,提现困难
2018-12-10,宜投通,湖南省长沙市,2014-03-26,平台清盘
2018-12-10,乐金所,安徽省合肥市,2015-04-28,提现困难
2018-12-10,外滩云财富,上海市黄浦区,2015-06-24,暂停运营
2018-12-10,御坤财富,浙江省丽水市,2017-08-23,警方介入
2018-12-10,摇旺理财,上海市浦东新区,2014-01-28,平台失联
2018-12-10,鲸明理财,浙江省杭州市,2018-04-28,平台失联
2018-12-10,亚泰普惠,湖北省武汉市,2016-09-20,平台失联
2018-12-10,资越投资,上海市宝山区,2017-11-15,平台失联
2018-12-07,乐贷网,湖北省武汉市,2014-11-18,平台清盘
2018-12-06,融金交易,云南省昆明市,2014-11-15,平台失联
2018-12-06,银点财富,河北省石家庄市,2014-11-11,平台失联
2018-12-06,保金所,上海市黄浦区,2014-11-12,暂停运营
2018-12-06,恒昇贷,陕西省西安市,2015-09-06,平台失联
2018-12-05,见大金服,浙江省杭州市,--,平台清盘
2018-12-05,源金所,浙江省温州市,2015-05-04,警方介入
2018-12-04,前金所,广东省深圳市,2013-12-03,警方介入
2018-12-02,慧米财富,浙江省杭州市,2018-03-26,平台清盘
2018-12-02,米宝理财,吉林省长春市,2015-08-01,暂停运营
2018-11-30,牛人街,浙江省杭州市,2016-07-01,暂停运营
2018-11-28,小胖理财,浙江省杭州市,2018-04-19,平台清盘
2018-11-28,银承猫,北京市东城区,2015-06-26,平台清盘
2018-11-27,泊洋金融,浙江省杭州市,2018-03-01,平台清盘
2018-11-24,温易贷,浙江省温州市,2014-10-26,平台清盘
2018-11-24,赢发金服,上海市松江区,2017-08-10,平台展期
2018-11-23,网易理财,浙江省杭州市,2015-05-06,暂停运营
2018-11-22,互助贷,山东省青岛市,2014-08-06,平台清盘
2018-11-20,顺心理财,浙江省杭州市,2017-08-03,警方介入
2018-11-19,寸芒金融,湖南省长沙市,2016-08-29,平台清盘
2018-11-19,余易贷,湖南省长沙市,2014-10-19,平台清盘
2018-11-19,招商贷,贵州省贵阳市,2013-06-28,提现困难
2018-11-18,金满赢,浙江省丽水市,2017-12-13,警方介入
2018-11-16,板凳理财,上海市静安区,2016-07-28,平台清盘
