序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,86.04,0.19,0.0,7.5,5.87,4.34,6.92,7.0,1.49,0.04
2,人人贷,A+,83.93,0.04,0.0,11.88,4.28,4.61,5.17,29.15,0.2,0.14
3,拍拍贷,A+,82.66,0.33,0.01,14.13,0.36,1.58,6.92,80.42,0.02,0.17
4,微贷网,A+,82.23,0.26,0.0,12.51,19.89,0.95,12.02,8.61,0.75,3.33
5,宜人贷,A+,81.42,0.18,0.0,11.55,4.97,5.73,5.17,6.02,6.91,0.04
6,积木盒子,A+,80.77,0.71,0.0,9.34,9.77,0.48,5.17,33.69,2.14,0.94
7,有利网,A+,80.68,0.45,0.0,10.12,14.69,2.59,5.17,9.58,0.63,0.86
8,投哪网,A+,80.35,0.4,0.0,11.24,13.82,0.73,17.21,21.09,0.66,2.02
9,红岭创投,A,79.92,0.03,0.0,11.04,65.85,0.16,17.21,5.69,4.13,16.02
10,小牛在线,A,79.56,0.95,0.0,13.15,9.26,2.17,17.21,136.98,5.04,0.67
11,翼龙贷网,A,79.18,0.51,0.07,17.64,3.88,2.05,5.17,2.46,7.66,0.01
12,爱投资,A,78.94,0.36,0.0,11.85,9.47,2.45,5.17,3.77,2.98,3.56
13,金宝保,A,78.62,0.1,0.0,8.73,8.67,1.63,0.92,16.6,24.35,1.66
14,你我贷,A,78.28,0.32,0.02,12.8,11.96,5.76,6.92,24.68,100.8,0.68
15,鑫合汇,A,77.97,0.53,0.07,12.66,100.0,0.18,12.02,134.21,225.89,103.74
16,融金所,A,77.6,0.4,0.0,16.67,14.18,0.99,17.21,20.15,1.11,2.7
17,一起好,A,77.45,0.32,0.01,17.29,5.06,1.12,2.34,22.26,0.52,3.35
18,宜贷网,A,77.27,0.18,0.0,11.64,20.04,0.25,4.07,2.87,3.4,0.3
19,365易贷,B+,76.96,0.61,0.0,11.42,0.73,0.27,5.91,5.75,0.45,0.85
20,PPmoney,B+,76.8,0.1,0.01,9.49,41.56,0.52,17.21,3.36,2.61,6.28
21,爱钱进,B+,76.58,0.3,0.0,13.51,11.65,6.1,5.17,70.29,7.11,0.02
22,合拍在线,B+,76.3,0.62,0.0,14.66,6.58,0.41,17.21,96.22,0.94,0.67
23,合时代,B+,75.95,0.09,0.02,15.73,9.66,0.21,17.21,124.27,1.72,0.45
24,E速贷,B+,74.88,0.06,0.0,16.4,2.8,0.21,17.21,5.85,3.62,0.17
25,银湖网,B+,73.8,0.02,0.0,13.4,5.82,2.3,5.17,19.42,1.17,1.14
26,玖融网,B+,73.01,0.32,0.0,17.41,1.6,0.84,2.34,25.45,0.4,0.14
27,团贷网,B+,72.26,0.2,0.0,15.19,11.29,0.56,17.21,16.06,11.65,0.23
28,理财范,B+,72.09,0.28,0.0,13.38,15.6,1.12,5.17,67.94,1.42,0.88
29,金海贷,B+,71.6,0.14,0.0,16.46,1.4,1.3,17.21,54.3,1.45,0.0
30,广信贷,B+,70.23,0.43,0.0,17.32,2.25,0.26,5.17,38.32,1.02,1.91
31,银客网,B,69.51,0.26,0.0,10.61,9.23,0.78,5.17,41.86,2.04,0.33
32,新新贷,B,68.81,0.33,0.0,11.31,1.49,1.65,6.92,13.09,1.98,0.32
33,温州贷,B,68.72,0.71,0.0,12.03,10.99,0.04,12.02,4.55,156.49,2.35
34,和信贷,B,67.27,0.48,0.03,15.93,7.42,0.87,5.17,31.46,34.02,0.29
35,皮城金融,B,66.59,0.79,0.13,9.16,21.93,0.78,12.02,39.33,730.92,0.0
36,温商贷,B,64.95,0.36,0.0,14.55,8.03,0.93,12.02,126.99,82.92,0.01
37,汇通易贷,B,64.27,0.73,0.0,13.44,1.19,0.58,17.21,10.94,81.58,0.0
38,理想宝,B,63.62,0.11,0.63,14.72,17.13,0.28,17.21,80.45,133.38,5.59
39,安心贷,B,63.01,0.46,0.0,18.0,1.21,0.65,5.17,27.57,37.07,0.01
40,民贷天下,C+,62.94,0.44,0.0,10.12,9.34,0.71,17.21,59.73,92.65,0.0
41,短融网,C+,62.24,0.17,0.27,12.49,4.28,0.19,5.17,49.47,25.21,0.75
42,金融工场,C+,61.76,0.76,0.09,9.97,10.49,0.33,5.17,1101.19,2623.16,0.08
43,合盘贷,C+,61.27,0.18,0.39,12.76,1.58,0.96,6.92,58.25,0.51,0.67
44,招商贷,C+,61.01,0.64,0.0,16.7,8.71,0.46,0.81,89.38,104.15,1.95
45,四达投资,C+,60.74,0.2,0.0,16.96,1.44,0.75,4.07,8.89,5.84,0.43
46,北京众信金融,C+,59.88,0.19,0.0,11.68,14.49,1.11,5.17,143.17,5.87,10.59
47,口贷网,C+,59.47,0.35,0.0,18.0,1.43,0.63,4.07,33.75,361.8,0.01
48,网利宝,C+,58.07,0.35,0.78,12.94,9.98,0.69,5.17,147.45,77.73,0.46
49,迷你贷,C+,56.31,0.08,0.0,18.0,2.82,0.18,17.21,16.5,17.62,0.02
50,国诚金融,C+,55.96,0.95,0.07,15.14,4.66,0.33,6.92,57.66,78.45,1.01
