序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,宜人贷, 0,A+,93.48,70.0,83,2.96,11.63,2012-07-01,北京,9.74,1176.27,35.82,24.3,2.1,2.53,235.46
2,陆金服, 0,A+,91.48,85.0,83,3.12,8.25,2012-06-01,上海,7.9,7.2,72.38,25.33,0.99,2.35,19.67
3,拍拍贷, 0,A+,90.01,72.5,73,0.8,14.72,2007-06-01,上海,5.65,-44.75,24.81,25.33,0.18,0.57,51.49
4,微贷网, 1,A+,88.39,85.0,77,0.39,7.49,2011-08-01,浙江,6.67,4.23,54.39,18.42,0.51,1.17,101.69
5,开鑫金服, 1,A+,88.16,65.0,100,1.41,6.93,2012-12-01,江苏,14.1,14.62,0.64,3.59,0.84,2.91,16.83
6,投哪网, 1,A+,87.61,62.5,77,0.96,8.61,2012-07-01,广东,11.35,-29.9,12.47,24.28,1.7,2.36,32.24
7,人人贷, -3,A+,86.48,85.0,83,2.45,9.5,2010-10-01,北京,8.26,310.59,18.72,24.3,2.15,2.75,50.76
8,团贷网, 2,A+,85.49,66.25,72,0.66,9.45,2012-07-01,广东,7.61,20.65,45.0,24.28,2.43,3.88,34.33
9,凤凰金融, 2,A+,85.18,44.5,84,1.15,6.75,2014-12-01,北京,5.44,-30.84,18.9,24.3,3.78,10.22,441.62
10,宜贷网, -2,A,84.85,87.5,72,0.2,10.47,2014-01-01,上海,7.03,5.95,74.63,2.82,1.86,8.18,12.33
11,点融网, 1,A,84.61,85.0,67,2.33,13.94,2014-11-01,上海,7.91,6.09,20.12,25.33,0.21,0.92,0.54
12,小赢网金, -3,A,83.74,70.0,67,0.96,7.59,2014-08-01,广东,5.84,47.03,41.55,24.28,0.52,0.98,114.67
13,爱钱进, 1,A,83.48,65.0,83,2.98,10.29,2014-05-01,北京,15.74,65.84,42.11,24.3,1.43,1.81,26.7
14,有利网, -1,A,83.13,78.75,83,1.79,9.42,2013-02-01,北京,11.41,48.98,21.46,24.3,0.61,0.81,81.98
15,海融易, 1,A,82.81,52.5,68,0.52,7.31,2014-12-01,山东,4.4,-56.59,3.28,2.61,4.07,9.26,76.7
16,你我贷, 3,A,82.27,87.5,78,1.07,10.43,2011-06-01,上海,12.33,7.49,22.78,25.33,0.41,0.66,55.61
17,麻袋理财, 0,A,81.49,80.0,78,1.64,8.61,2014-12-01,上海,12.53,-196.9,4.46,25.33,0.22,0.77,14.98
18,翼龙贷, -3,A,81.07,82.5,83,1.09,9.03,2011-04-01,北京,7.42,-24.02,15.79,24.3,1.06,2.19,68.13
19,积木盒子, -1,A,80.62,85.0,83,1.13,8.85,2013-08-01,北京,22.31,-70.31,20.24,24.3,0.25,0.43,7.16
20,博金贷, 3,A,80.31,80.0,72,0.23,6.24,2014-09-01,江西,12.8,6.17,20.39,0.42,1.79,8.02,23.67
21,PPmoney网贷, 0,B+,79.87,80.0,83,0.42,9.14,2012-12-01,广东,4.85,-9.93,18.01,24.28,0.52,0.63,55.4
22,小牛在线, -2,B+,79.8,72.5,77,0.5,9.57,2013-06-01,广东,5.52,36.66,40.36,24.28,2.49,4.2,65.18
23,和信贷, 1,B+,79.16,75.0,83,0.11,11.07,2013-08-01,北京,14.7,-13.46,9.1,24.3,4.81,10.74,14.93
24,鑫合汇, -2,B+,78.64,67.5,94,0.07,7.39,2013-12-01,浙江,6.44,-2.28,100.0,18.42,0.9,11.56,7.17
25,道口贷, 2,B+,78.33,72.5,83,0.33,8.21,2014-12-01,北京,8.81,22.75,6.81,24.3,3.07,7.22,108.43
26,银湖网, 0,B+,78.28,60.0,77,3.1,12.02,2014-07-01,北京,3.28,41.78,5.48,24.3,1.32,2.32,0.47
27,民贷天下, -2,B+,77.97,78.75,78,0.69,7.49,2014-12-01,广东,1.45,17.74,12.82,24.28,0.34,1.01,2.81
28,东方汇, 0,B+,77.17,60.0,67,0.44,5.5,2014-06-01,上海,1.1,-16.07,5.62,25.33,2.63,8.95,1.34
29,友金所, 4,B+,76.51,60.0,78,3.4,9.0,2014-10-01,广东,17.99,77.8,9.73,24.28,4.99,4.47,14.4
