序号,平台名称,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,陆金服,A+,96.24,76.5,77.5,2.49,8.46,2012-06-01,上海,4.4,10.12,75.49,23.04,0.9,1.97,39.16
2,宜人贷,A+,93.89,85.5,85.0,2.0,11.48,2012-07-01,北京,7.93,18.97,25.55,30.85,2.38,2.68,244.05
3,人人贷,A+,91.63,89.0,83.0,2.03,9.52,2010-10-01,北京,5.92,39.29,12.06,30.85,2.67,3.12,52.33
4,拍拍贷,A+,89.84,72.5,75.0,0.65,12.36,2007-06-01,上海,3.15,5.62,18.74,23.04,0.3,0.56,37.78
5,微贷网,A+,88.12,82.0,78.5,0.39,6.91,2011-08-01,浙江,4.05,9.33,36.8,14.55,1.62,2.89,97.86
6,玖富普惠,A+,87.8,88.0,80.0,0.63,8.02,2013-03-01,北京,6.81,5.47,100.0,30.85,0.48,2.43,157.81
7,51人品,A+,86.02,79.5,82.0,1.4,12.6,2015-01-01,浙江,3.63,4.65,9.76,15.84,1.22,0.96,29.6
8,爱钱进,A+,85.9,81.5,82.0,2.12,10.29,2014-05-01,北京,8.93,24.18,26.38,30.85,1.53,1.79,33.17
9,小赢网金,A+,85.37,74.0,73.0,0.96,7.88,2014-08-01,广东,7.19,-14.55,23.82,21.32,0.66,1.01,37.36
10,麻袋财富,A,84.75,71.0,73.0,1.59,10.55,2014-12-01,上海,8.97,21.88,57.68,23.04,0.29,0.74,23.33
11,翼龙贷,A,84.52,79.0,77.0,0.81,9.29,2014-04-01,北京,2.1,12.64,10.86,30.85,1.14,2.0,36.99
12,有利网,A,83.37,84.0,82.0,1.31,9.41,2013-02-01,北京,8.19,5.13,13.65,30.85,0.71,0.82,95.7
13,你我贷,A,83.01,68.0,73.0,1.08,10.31,2011-06-01,上海,6.11,-15.22,18.42,23.04,0.91,1.06,60.95
14,桔子理财,A,82.97,78.0,78.0,0.27,8.6,2014-06-01,广东,8.97,127.42,8.82,21.32,1.11,1.35,45.27
15,凤凰金融,A,82.6,82.0,79.0,1.44,8.38,2014-12-01,北京,3.83,48.88,7.1,30.85,0.78,1.27,56.18
16,点融网,A,82.6,77.5,70.0,1.85,8.64,2014-11-01,上海,1.41,0.93,11.88,23.04,0.47,1.18,0.6
17,积木盒子,A,82.15,92.0,82.0,1.21,9.93,2013-08-01,北京,0.25,-0.19,6.73,30.85,0.85,0.94,0.02
18,挖财财米,A,81.87,86.0,80.0,0.62,7.8,2015-10-01,浙江,5.83,-0.09,25.91,14.55,0.18,1.06,50.4
19,铜板街,A,81.27,80.0,78.0,0.33,7.5,2012-09-01,浙江,6.25,-0.05,22.58,14.55,0.4,1.79,48.25
20,投哪网,A,80.72,82.0,74.5,1.08,9.0,2012-07-01,广东,2.74,4.98,4.61,21.32,0.65,2.06,15.79
21,友金所,B+,79.73,82.0,68.0,2.49,9.0,2014-10-01,广东,10.42,41.32,5.93,21.32,5.37,4.5,21.02
22,和信贷,B+,79.4,75.0,85.0,0.09,9.03,2013-08-01,北京,4.24,-2.79,8.3,30.85,5.95,13.12,7.54
23,团贷网,B+,79.09,83.0,75.0,1.61,10.58,2012-07-01,广东,6.93,32.18,13.43,21.32,3.24,2.96,40.21
24,PPmoney网贷,B+,78.14,83.5,80.0,0.73,8.78,2012-12-01,广东,3.88,10.68,11.49,21.32,0.37,0.41,30.25
25,信而富,B+,78.05,88.0,75.0,0.65,9.0,2014-07-01,上海,6.31,18.23,9.35,23.04,0.22,1.61,42.09
26,网信普惠,B+,77.84,93.0,74.0,0.73,11.0,2013-07-01,北京,6.79,25.56,5.35,30.85,1.79,2.14,75.77
27,红岭创投,B+,76.98,75.0,80.0,0.1,8.37,2009-03-01,广东,6.69,-11.89,42.23,21.32,1.82,5.86,164.18
28,搜易贷,B+,76.55,78.0,81.0,0.87,8.69,2014-09-01,北京,1.03,6.91,11.54,30.85,2.2,6.03,0.56
29,万盈金融,B+,75.89,71.5,76.0,0.59,11.03,2015-05-01,广东,9.44,-92.76,1.7,21.32,1.62,2.95,4.04
30,宜贷网,B+,74.68,82.0,78.0,0.38,10.52,2014-01-01,上海,0.13,-1.9,25.39,23.04,0.81,2.79,5.91
31,首E家,B+,74.32,68.0,77.0,0.4,7.22,2015-07-01,北京,1.73,15.11,2.84,30.85,0.37,0.75,3.27
32,杉易贷,B+,73.22,80.0,69.0,0.51,10.06,2014-09-01,广东,7.1,1.5,0.77,21.32,1.51,3.06,1.59
33,91旺财,B+,72.36,70.0,75.0,0.17,7.14,2014-03-01,北京,4.73,-12.71,7.71,30.85,2.68,7.78,251.97
34,向上金服,B+,72.23,85.0,78.0,0.23,9.39,2013-08-01,北京,3.85,-0.04,22.5,30.85,8.16,24.13,0.06
35,洋钱罐,B+,72.13,83.5,83.0,0.43,11.97,2015-09-01,北京,0.94,16.96,27.91,30.85,0.24,0.49,16.25
36,捞财宝,B,69.91,80.0,72.0,2.38,10.96,2015-07-01,上海,6.13,-15.25,13.5,23.04,0.86,3.86,55.62
37,钜宝盆,B,69.82,61.5,75.5,2.61,9.0,2015-05-01,上海,6.68,-66.19,2.9,23.04,1.31,3.24,10.88
38,民贷天下,B,68.3,83.0,69.5,1.3,9.89,2014-12-01,广东,3.39,-11.22,4.83,21.32,0.31,0.45,3.53
39,笑脸金融,B,67.61,75.0,70.0,0.19,8.0,2015-07-01,广东,5.13,-19.74,9.73,21.32,0.24,0.57,11.47
40,e融所,B,65.62,73.0,73.0,2.49,11.53,2015-11-01,广东,5.13,-184.83,1.16,21.32,3.25,3.36,0.51
41,首金网,B,65.6,82.0,74.0,0.52,8.46,2015-12-01,北京,5.44,-17.18,4.51,30.85,0.29,0.6,5.85
42,海融易,B,64.74,78.0,71.0,0.04,12.0,2014-12-01,山东,8.33,-22.57,3.76,29.42,26.51,31.62,0.86
43,钱香,B,63.97,76.0,75.0,0.37,9.45,2015-05-01,上海,10.39,5.4,2.38,23.04,4.3,9.66,26.77
